"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.181725527993689,0.181704841478309,0.18184450039361,48359,0.95,0.175713783097875,0.18760845475919,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.239002714209812,0.239004635057833,0.238787562767541,50000,0.95,0.232503006601506,0.245660112385795,NA,NA,NA,NA,NA,NA,NA
"theta[3]",0.176650468537263,0.176639518938706,0.176384555304153,50000,0.95,0.170718863297455,0.18254874566557,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",-0.0572771862161223,-0.0572936339186002,-0.0568470995800891,50000,0.95,-0.066320030555909,-0.0484902986543878,0,0,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.00507505945642649,0.00506190396843903,0.00510376482058686,50000,0.95,-0.00344269592819921,0.0133949057769725,0,88.248,NA,NA,NA,NA,NA
"theta[2]-theta[3]",0.0623522456725488,0.0623764153974027,0.0627935170656657,50000,0.95,0.0535652052434935,0.071198277542813,0,100,NA,NA,NA,NA,NA
